state,age,sex,race_ethnicity,citizen,married,school,military,income,public_housing,phone,health,family_size,mother_origin,father_origin
23,22,0,1,1,2,2,1,106738,0,1,1,4,5,5
23,19,0,1,1,2,2,1,106738,0,1,1,4,5,5
23,18,0,5,1,2,2,1,84963,1,1,4,3,1,3
23,16,0,1,1,2,1,0,102510,0,1,1,4,6,1
23,18,1,1,1,2,2,1,109864,0,1,1,4,1,3
23,18,1,1,1,2,3,1,17603,0,1,4,5,1,2
23,16,0,1,1,2,1,0,15244,0,1,2,3,6,1
23,18,1,1,1,2,1,1,78340,0,1,1,3,1,3
23,20,1,1,1,2,3,1,40000,0,1,1,3,6,6
23,21,0,1,1,2,2,1,58200,0,1,1,2,1,6
23,19,0,3,1,2,3,1,108659,0,1,1,4,1,4
23,22,1,2,2,2,3,1,5000,0,1,3,2,7,7
23,22,1,4,1,2,2,1,30002,0,1,2,3,5,5
23,17,0,1,1,2,1,1,87337,0,1,1,3,3,1
23,22,0,1,1,2,3,1,14910,0,1,3,2,3,1
23,20,1,3,1,2,2,1,106500,0,1,1,5,1,3
23,16,1,3,1,2,1,0,106500,0,1,1,5,1,3
23,23,0,3,2,2,3,1,16525,0,1,2,2,3,3
23,22,1,1,1,2,3,1,204521,0,1,2,4,7,1
23,19,0,1,1,2,3,1,204521,0,1,1,4,7,1
23,21,1,1,1,2,2,1,46232,0,1,2,4,6,1
23,19,1,1,1,2,2,1,46232,0,1,2,4,6,1
23,20,0,2,1,2,2,1,104784,0,1,1,5,3,3
23,19,0,2,1,2,2,1,104784,0,1,2,5,3,3
23,16,1,2,1,2,1,0,104784,0,1,1,5,3,3
23,17,1,1,1,2,1,1,167681,0,1,4,3,1,3
23,16,0,1,2,2,1,0,28905,0,1,3,2,5,5
23,17,1,1,1,2,1,1,96741,0,1,1,3,1,3
33,20,0,1,1,2,3,1,51500,0,1,3,1,6,1
33,21,1,1,1,2,3,1,94149,0,1,1,2,1,7
33,17,1,1,1,2,1,1,179677,0,1,1,4,6,6
33,19,1,4,1,2,2,1,102010,0,1,1,4,5,5
33,18,1,1,1,2,2,1,76300,0,1,1,7,6,6
33,17,0,1,1,2,1,1,40171,0,1,2,3,6,6
33,16,1,1,1,2,1,0,79124,0,1,2,5,1,5
33,18,0,1,1,2,3,1,73207,0,1,4,3,6,6
33,24,1,4,1,2,2,1,47200,0,1,1,1,5,5
33,21,0,2,2,2,3,1,28000,0,1,3,2,7,7
33,24,1,2,2,2,3,1,28000,0,1,3,2,7,7
33,16,0,1,1,2,1,0,64710,0,1,3,5,1,3
33,18,0,1,1,2,1,1,10000,0,1,1,2,1,5
33,19,1,4,1,2,2,1,517219,0,1,2,5,5,5
33,21,0,1,1,2,2,1,241597,0,1,1,1,6,1
33,21,1,4,1,2,2,1,241597,0,1,1,1,5,1
33,21,1,1,1,2,3,1,46000,0,1,2,4,3,1
33,19,1,1,1,2,3,1,46000,0,1,2,4,3,1
33,16,0,1,1,2,1,0,90162,0,1,1,6,1,5
33,24,0,3,2,2,3,1,91001,0,1,1,3,3,3
33,18,0,1,1,2,1,1,81400,0,1,1,5,1,3
33,21,1,1,2,1,3,1,50544,0,1,1,2,6,6
33,24,0,1,1,2,3,1,33300,0,1,1,2,1,6
33,18,0,2,2,2,2,1,84300,0,1,1,6,7,7
33,16,1,2,2,2,1,0,84300,0,1,1,6,7,7
33,23,0,3,1,1,3,1,205578,0,1,3,2,3,3
33,22,1,1,1,1,3,1,205578,0,1,3,2,5,5
33,23,0,3,1,2,3,1,205578,0,1,3,1,3,3
33,21,1,3,2,1,3,1,24000,0,0,1,6,3,3
33,21,1,1,1,2,2,1,143600,0,1,3,5,6,1
33,22,0,4,2,2,3,1,48700,0,1,1,5,5,5
33,16,0,1,1,2,1,0,60900,0,1,4,5,1,6
33,17,0,3,1,2,1,1,61179,0,1,1,3,3,2
33,17,0,3,1,2,1,1,100000,0,1,1,4,3,3
33,19,1,1,1,2,3,1,35049,0,1,3,2,6,6
33,21,0,1,1,2,2,1,86781,0,1,1,4,1,3
33,18,1,1,1,2,1,1,86781,0,1,1,4,1,3
33,19,0,4,2,2,2,1,68418,0,1,2,4,5,5
33,21,1,3,2,2,2,1,44182,0,1,1,3,4,4
33,22,0,1,1,2,2,1,94239,0,1,2,5,1,5
33,19,0,1,1,2,2,1,94239,0,1,1,5,1,5
33,19,0,1,1,2,2,1,94239,0,1,2,5,1,5
33,21,0,1,1,2,2,1,125000,0,1,3,3,6,6
33,21,0,3,1,2,3,1,5000,0,1,2,1,3,3
33,21,1,1,1,1,3,1,25644,0,1,1,2,3,1
33,21,1,3,1,2,2,1,67470,0,1,1,5,4,4
33,23,1,3,1,2,3,1,67470,0,1,1,5,4,4
33,17,0,3,1,2,1,1,67470,0,1,1,5,4,4
33,19,0,4,1,2,3,1,111482,0,1,2,5,5,5
33,19,0,4,1,2,3,1,111482,0,1,2,5,5,5
33,19,1,4,1,2,2,1,111482,0,1,2,5,5,5
33,16,0,1,2,2,1,0,63000,0,1,2,3,6,6
33,16,0,4,1,2,1,0,137115,0,1,2,3,5,5
33,20,1,1,2,2,3,1,54000,0,1,1,3,6,6
33,23,0,2,1,2,3,1,92750,0,1,2,2,7,7
33,19,0,1,1,2,3,1,105700,0,1,1,3,6,1
33,17,0,1,1,2,1,1,236491,0,1,2,5,1,6
50,24,1,1,1,2,3,1,23528,0,1,1,1,3,1
50,22,1,1,1,2,2,1,34572,0,1,3,1,1,3
50,18,1,2,1,2,1,1,74700,0,1,3,7,7,7
50,21,0,1,1,2,2,1,37512,0,1,1,1,3,1
50,23,1,1,1,2,3,1,103900,0,1,1,3,6,1
50,17,0,1,1,2,1,1,116528,0,1,1,4,1,6
50,23,0,1,1,2,3,1,45457,0,1,1,2,1,3
50,19,0,3,2,2,3,1,49235,0,1,2,1,3,3
50,16,0,1,1,2,1,0,78038,0,1,1,4,6,1
50,22,1,4,1,2,2,1,69198,0,1,2,2,1,9
50,16,0,1,1,2,1,0,139961,0,1,1,3,1,6
50,24,0,1,2,2,3,1,4700,0,1,2,1,3,3
50,20,1,1,2,2,2,1,75226,0,1,2,3,6,6
50,22,0,2,2,2,3,1,114863,0,1,2,4,7,7
50,24,0,2,2,2,3,1,114863,0,1,2,4,7,7
50,24,1,4,1,2,3,1,82400,0,1,2,4,5,1
50,16,1,4,1,2,1,0,82400,0,1,2,4,5,1
50,23,0,1,1,2,2,1,17001,0,1,3,1,1,3
50,22,1,1,1,3,3,1,20801,0,1,3,4,3,1
50,17,1,1,1,2,1,1,35500,0,1,3,1,6,1
25,23,1,3,2,1,3,1,25000,0,1,4,3,3,3
25,16,1,3,1,2,1,0,18196,1,1,5,3,6,1
25,22,0,4,1,2,2,1,473339,0,1,1,4,5,5
25,20,1,6,1,2,2,1,287071,0,1,1,4,1,3
25,18,1,4,1,2,2,1,84710,0,1,2,2,5,6
25,17,0,1,1,2,1,1,40828,0,1,3,4,1,3
25,16,1,3,1,2,1,0,59000,0,1,2,4,2,2
25,23,0,1,1,2,2,1,143500,0,1,2,1,3,1
25,23,1,3,1,2,2,1,9600,0,0,2,2,2,3
25,23,0,3,1,2,3,1,57000,0,1,2,4,3,3
25,17,1,3,1,2,1,1,57000,0,1,2,4,3,3
25,21,1,1,2,1,2,1,20479,0,1,2,4,6,6
25,24,0,1,2,2,3,1,66000,0,1,2,1,7,7
25,24,0,1,2,2,3,1,66000,0,1,2,1,7,7
25,23,1,1,1,2,3,1,153474,0,1,1,3,6,6
25,21,1,1,1,2,2,1,153474,0,1,1,3,6,6
25,21,0,3,1,1,2,1,30000,0,1,3,3,4,4
25,24,1,3,1,1,3,1,41048,0,1,3,2,2,2
25,24,1,4,1,2,3,1,95040,0,1,3,2,5,5
25,18,0,3,2,2,1,1,26000,0,1,3,4,3,3
25,17,1,3,2,2,1,1,26000,0,1,3,4,3,3
25,20,1,3,1,2,1,1,38000,0,0,3,5,2,2
