school_type_1,gada,act_composite,sat_total,grad_rate,ayp_over_status,years_ayp,admin_avg_salary,admmas_pnt,admin_fte_total,admin_male,admin_female,admin_avg_year_exp,saratio,tch_avg_salary,tch_fte_total,tch_male,tch_female,tch_avg_year_exp,tchmas_pnt,stratio,fte_total,asian_pct,black_pct,hisp_pct,natamer_pct,multi_pct,other_pct,white_pct,female_pct,male_pct,fr_lunch_pct,swd_pct,lep_pct,truancy_pct,total_disc_action,total_disc_students,disc_action_ps,oss_per,exp_per,alt_per,iss_per,corp_per,adm_bk_pnt,adm_wt_pnt,adm_hp_pnt,adm_as_pnt,adm_ind_pnt,adm_mult_pnt,adm_other_pnt,tch_bk_pnt,tch_wt_pnt,tch_hp_pnt,tch_as_pnt,tch_ind_pnt,tch_mult_pnt,tch_other_pnt
1,0,NA,NA,NA,0,0,54.7272727272727,45.4545440673828,11,5,6,4.72727251052856,61.3636360168457,36.75,26,10,16,2.3461537361145,19.230770111084,25.9615383148193,675,0.00296296295709908,0.989629626274109,0.00296296295709908,0,0.00148148147854954,0.00148148147854954,0.00296296295709908,0.355555564165115,0.644444465637207,0.60148149728775,0.0355555564165115,0,0.33536171913147,1555,538,2.30370378494263,0.711254000663757,0.0643086805939674,0.010932476259768,0.0868167206645012,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
4,0,17.2000007629395,925,65.0999984741211,0,0,73.193958,100,3.125,2,2,25.25,353.75,45.0261726379395,74.1050033569336,30,46,13.3552627563477,50,18.6184215545654,1415,0.00918727926909924,0.675618350505829,0.0310954060405493,0,0.0289752651005983,0.0289752651005983,0.255123674869537,0.501766800880432,0.49823322892189,0.397173136472702,0.0862190797924995,0,0.203806012868881,1556,585,1.09964668750763,0.492930591106415,0.00578406173735857,0,0.500642657279968,0.000642673519905657,0.5,0.5,0,0,0,0,0,0.315789461135864,0.657894730567932,0.0263157896697521,0,0,0,0
4,120,19,1011,62.2000007629395,1,6,86.69039,100,3,2,1,22.6666660308838,261.333343505859,46.8234519958496,53.6500015258789,29,25,11.537036895752,59.2592582702637,14.518518447876,784,0.00255102035589516,0.0931122452020645,0.0191326532512903,0.00255102035589516,0.00255102035589516,0.00510204071179032,0.880102038383484,0.48724490404129,0.51275509595871,0.334183663129807,0.140306115150452,0.00283286115154624,0.16628959774971,579,226,0.738520383834839,0.172711566090584,0.0259067360311747,0,0.709844589233398,0.00172711571212858,0,1,0,0,0,0,0,0,0.962962985038757,0.0370370373129845,0,0,0,0
4,10,19.2999992370605,945,60.5999984741211,0,0,79.76284,100,3,2,1,16,282.666656494141,47.5227165222168,52.5750007629395,16,42,13.0689659118652,53.4482765197754,14.6206893920898,848,0.00589622650295496,0.724056601524353,0.0117924530059099,0.00235849060118198,0.00707547180354595,0.00943396240472794,0.248820751905441,0.542452812194824,0.457547158002853,0.520047187805176,0.161556601524353,0.00255102035589516,0.255040317773819,1348,428,1.58962261676788,0.592729985713959,0.00816023722290993,0.00593471806496382,0.374629080295563,0,0.333333343267441,0.666666686534882,0,0,0,0,0,0.327586203813553,0.672413766384125,0,0,0,0,0
4,20,18.2000007629395,870,89.3000030517578,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,260,19.8999996185303,951,76.4000015258789,0,0,68.26715,100,5,5,1,13.8333330154419,251,48.4771118164062,82.5299987792969,37,49,13.6744184494019,53.4883728027344,17.5116271972656,1506,0.00597609579563141,0.165338650345802,0.0159362554550171,0.000664010643959045,0.0179282873868942,0.0185922980308533,0.794156730175018,0.460823386907578,0.539176642894745,0.221115544438362,0.1394422352314,0.00277585000731051,0.238204836845398,1248,475,0.828685283660889,0.194711536169052,0,0.00080128206172958,0.777243614196777,0,0,1,0,0,0,0,0,0.0232558138668537,0.965116262435913,0.0116279069334269,0,0,0,0
4,150,NA,1108,92.8000030517578,1,4,81.2725950231663,95,5.84102296829224,12,8,17.75,72.3000030517578,48.398307800293,89.5244598388672,44,54,9.34693908691406,58.1632652282715,14.7551021575928,1446,0.115491010248661,0.1431535333395,0.0726141110062599,0.00276625179685652,0.0352697111666203,0.0380359627306461,0.630705416202545,0.457814663648605,0.542185366153717,0.069847859442234,0.108575381338596,0.0563777312636375,0.147804573178291,695,290,0.480636239051819,0.26618704199791,0,0.00431654695421457,0.635971248149872,0,0.100000001490116,0.850000023841858,0.0500000007450581,0,0,0,0,0.0714285746216774,0.897959172725677,0.0204081628471613,0.0102040814235806,0,0,0
4,124.330001831055,NA,844,61.5,0,0,67.1057966666667,100,3,1,2,18,169.66667175293,41.7074737548828,37.4000015258789,13,27,9.14999961853027,45,12.7250003814697,509,0.00392927322536707,0.754420459270477,0.0333988219499588,0,0.0137524558231235,0.0137524558231235,0.194499015808105,0.483300596475601,0.516699433326721,0.699410617351532,0.0962671935558319,0.00845665950328112,0.22916667163372,1808,354,3.55206274986267,0.257190257310867,0.000553097343072295,0.00774336280301213,0.555862843990326,0,0.666666686534882,0.333333343267441,0,0,0,0,0,0.474999994039536,0.474999994039536,0.025000000372529,0.025000000372529,0,0,0
4,124.330001831055,NA,844,61.5,0,0,74.63185,100,4,2,2,24.5,244,43.7937316894531,61,21,41,9.96774196624756,51.6129035949707,15.7419357299805,976,0.0112704914063215,0.710040986537933,0.0266393441706896,0.00102459010668099,0.00614754110574722,0.00717213097959757,0.244877055287361,0.514344274997711,0.485655725002289,0.632172107696533,0.0860655754804611,0.00636942684650421,0.231559291481972,735,345,0.753073751926422,0.504761934280396,0,0,0.487074822187424,0,0.5,0.5,0,0,0,0,0,0.387096762657166,0.564516127109528,0.0483870953321457,0,0,0,0
4,166.660003662109,18.7999992370605,934,68.5999984741211,1,1,75.3569573737374,100,4.94999980926514,4,2,18.3333339691162,220.5,44.9499549865723,81.0500030517578,38,45,10.0240964889526,62.6506042480469,15.9397592544556,1323,0.0725623592734337,0.135298565030098,0.0574452020227909,0.000755857909098268,0.0226757377386093,0.0234315954148769,0.711262285709381,0.457294017076492,0.542705953121185,0.3272864818573,0.142857149243355,0.0276872962713242,0.174418598413467,1239,417,0.936507940292358,0.270379334688187,0.00403551245108247,0.0129136396571994,0.589991927146912,0,0,1,0,0,0,0,0,0.0361445769667625,0.951807200908661,0,0,0.0120481923222542,0,0.0120481923222542
4,121.660003662109,17.7000007629395,930,67.3000030517578,0,0,79.0681065375303,100,4.13000011444092,2,2,29,219.75,50.4909286499023,56.8800010681152,20,38,16.5,55.1724128723145,15.1551723480225,879,0.00113765639252961,0.290102392435074,0.0386803187429905,0,0.00341296917758882,0.00341296917758882,0.666666686534882,0.490329921245575,0.509670078754425,0.572241187095642,0.147895336151123,0.0158730167895555,0.168049797415733,1388,346,1.57906711101532,0.164265125989914,0.00432276679202914,0.00504322769120336,0.577089309692383,0.216138333082199,0.25,0.75,0,0,0,0,0,0.0344827584922314,0.965517222881317,0,0,0,0,0
4,70,20.7999992370605,1033,81.0999984741211,1,6,76.01257,100,4,2,2,26.5,156.25,49.5460739135742,35.9640007019043,17,20,15.5405406951904,56.7567558288574,16.8918914794922,625,0.0111999996006489,0.0240000002086163,0.0127999996766448,0,0.00800000037997961,0.00800000037997961,0.944000005722046,0.499199986457825,0.500800013542175,0.239999994635582,0.0912000015377998,0.00162601622287184,0.113505743443966,198,107,0.316799998283386,0.272727280855179,0,0.0808080807328224,0.601010084152222,0,0,1,0,0,0,0,0,0,0.972972989082336,0.0270270276814699,0,0,0,0
