country,pop,urban,gdp,lifeexpm,lifeexpf,birthrat,deathrat,infmr,fertrate,region,develop,radio,phone,hospbed,docs
"Afghanistan",16.0949993133545,18,220,45,43,44,20,164,6.80000019073486,12,1,9.09090900421143,0.225733637809753,4.86854934692383,2.08463621139526
"Albania",3.28500008583069,35,1300,72,79,23,5,27,2.70000004768372,16,0,16.6666660308838,NA,56.8181800842285,17.4216022491455
"Algeria",26.6660003662109,51,2130,66,68,31,7,57,5.19999980926514,3,1,25,4.34782600402832,25.4452934265137,9.4161958694458
"Angola",8.90200042724609,29,950,43,47,46,19,151,6.30000019073486,2,1,4.54545450210571,0.757575750350952,11.8343191146851,0.660676538944244
"Argentina",32.9010009765625,87,3100,67,74,20,9,31,2.79999995231628,8,1,100,11.1111106872559,66.6666641235352,30.6748466491699
"Australia",17.5669994354248,85,18054,74,80,15,8,8,1.79999995231628,18,0,50,50,50.2512550354004,22.8310508728027
"Austria",7.86700010299683,54,20895,74,81,12,11,8,1.5,17,0,62.5,55.5555572509766,99.0099029541016,29.9401206970215
"Bangladesh",119,24,200,55,54,36,13,112,5.09999990463257,12,1,4.16666650772095,0.174825176596642,3.12989044189453,1.81818187236786
"Belgium",10.0159997940063,96,17300,73,80,10,10,8,NA,17,0,45.4545440673828,52.6315803527832,92.5925903320312,31.5457420349121
"Benin",4.99700021743774,20,400,49,52,49,16,115,6.90000009536743,5,1,7.14285707473755,NA,13.3511352539062,0.624024987220764
"Bhutan",1.6599999666214,95,199,50,48,40,17,126,5.5,12,1,1.5625,0.148148149251938,6.7750678062439,1.03241789340973
"Bolivia",7.32299995422363,51,690,59,64,34,19,83,5.80000019073486,8,1,55.5555572509766,2.70270276069641,14.5772590637207,4.7080979347229
"Botswana",1.29999995231628,25,2384,59,65,36,9,43,5.90000009536743,4,1,83.3333358764648,3.8461537361145,38.6100387573242,1.39178848266602
"Brazil",158,76,2540,62,68,26,7,67,3.20000004768372,8,1,40,10,35.087718963623,14.6198825836182
"Bulgaria",8.86800003051758,67,5300,69,76,13,12,13,1.79999995231628,14,0,20.8333339691162,20.8333339691162,97.0873794555664,29.6735897064209
"Burkina Faso",9.65299987792969,8,205,52,53,50,16,117,6.40000009536743,5,1,2.27272725105286,0.207468882203102,7.3583517074585,0.334291636943817
"Burundi",6.02199983596802,8,200,51,55,46,14,106,6.09999990463257,1,1,9.09090900421143,0.163666114211082,19.4174766540527,0.314693003892899
"Cambodia",7.24900007247925,12,130,48,51,37,15,121,4.40000009536743,11,1,10,0.558659195899963,15.8227844238281,0.370370358228683
"Cameroon",12.6579999923706,40,1010,55,60,44,11,81,5.69999980926514,2,1,16.6666660308838,0.540540516376495,26.5251998901367,0.79744815826416
"Canada",27.3509998321533,77,19400,74,81,14,7,7.30000019073486,1.70000004768372,9,0,83.3333358764648,76.9230804443359,67.5675659179688,22.2717151641846
"Central African Rep.",3.02900004386902,47,440,46,49,44,19,135,5.80000019073486,2,1,20,0.263157904148102,14.5137882232666,0.578302085399628
"Chad",5.23799991607666,32,190,39,41,42,22,136,5.80000019073486,2,1,23.2558135986328,0.180180177092552,7.00280094146729,0.188001736998558
"Chile",13.5279998779297,84,2200,71,77,21,6,18,2.70000004768372,8,1,30.3030300140381,6.25,32.8947372436523,10.8813924789429
"China",1169.61901855469,27,360,69,72,22,7,33,2.20000004768372,10,1,10.9890108108521,1.12359547615051,23.3644866943359,15.4798765182495
"Colombia",34.2960014343262,65.4000015258789,1300,69,74,24,5,37,3.29999995231628,8,1,13.6986303329468,7.692307472229,NA,9.26784038543701
"Congo",2.37599992752075,41,1070,52,56,43,13,110,5.80000019073486,2,1,10.638298034668,0.900900900363922,21.9298248291016,2.58197784423828
"Costa Rica",3.18700003623962,50,1810,75,79,27,4,12,3,7,1,9.09090900421143,14.4927539825439,22.0264320373535,12.5313282012939
"Cuba",10.8459997177124,72,1580,74,79,18,7,12,1.70000004768372,6,1,33.3333320617676,5.26315784454346,70.921989440918,33.0032997131348
"Denmark",5.16300010681152,86,17700,72,78,12,11,7,1.5,15,0,41.6666679382324,83.3333358764648,56.4971733093262,27.7777786254883
"Dominican Republic",7.5149998664856,60,950,66,70,27,7,56,3.29999995231628,6,1,16.6666660308838,4.16666650772095,6.63129997253418,10.7066383361816
"Egypt",56.3860015869141,44,720,58,62,33,10,80,4.19999980926514,3,1,25.6410255432129,2.94117641448975,19.80198097229,16.2337665557861
"El Salvador",5.57399988174438,45,1010,68,75,33,5,26,4.5,7,1,38.461540222168,2.77777767181396,10.2774925231934,7.56429672241211
"Equador",10.9329996109009,54,1070,67,72,28,6,60,4.30000019073486,8,1,29.4117641448975,3.57142853736877,16.3934421539307,11.0011005401611
"Ethiopia",51.0699996948242,11,130,50,53,45,15,113,6.30000019073486,1,1,18.1818180084229,0.3125,2.58197784423828,0.272776871919632
"Finland",5.00400018692017,61,16200,72,80,12,10,6,1.70000004768372,15,0,100,47.6190490722656,135.135131835938,19.8807163238525
"France",57.2869987487793,74,18300,74,82,13,9,7,1.79999995231628,17,0,90.9090881347656,58.8235282897949,125,26.7379684448242
"Gabon",1.10599994659424,45,4400,51,56,28,15,100,5.30000019073486,2,1,20,1.5625,46.2962951660156,2.65041089057922
"Ghana",16.1849994659424,33,400,53,56,46,13,86,6.19999980926514,5,1,21.2765960693359,0.523560225963593,NA,0.451936542987823
"Greece",10.0640001296997,63,7730,75,80,11,9,10,1.70000004768372,16,0,41.6666679382324,45.4545440673828,51.8134727478027,30.5810394287109
"Guatemala",9.78400039672852,39,1260,61,66,34,8,56,5.40000009536743,7,1,4.54545450210571,2.77777767181396,NA,4.24448204040527
"Guinea",7.78299999237061,26,410,41,45,46,21,144,6.09999990463257,5,1,2.94117641448975,0.281690150499344,NA,1.02753806114197
"Guyana",0.739000022411346,35,300,61,68,21,7,51,2.40000009536743,8,1,40,2.12765955924988,29.3255138397217,1.46864449977875
"Haiti",6.43100023269653,29,440,53,55,43,15,104,4.40000009536743,6,1,45.4545440673828,1.26582276821136,7.94912576675415,1.65590333938599
"Honduras",4.94899988174438,40,960,64,68,38,7,56,4.90000009536743,7,1,41.6666679382324,1.72413790225983,12.1802682876587,6.3051700592041
"Hungary",10.3330001831055,62,5700,66,75,12,14,14,1.79999995231628,14,0,58.8235282897949,18.1818180084229,101.010101318359,32.6797370910645
"India",886.361999511719,28,380,57,58,30,11,81,4.09999990463257,12,1,6.66666650772095,0.5,7.61035013198853,4.27899026870728
"Indonesia",195,31,630,59,64,26,8,70,2.90000009536743,11,1,12.5,0.581395328044891,6.73400688171387,1.34643864631653
"Iran",61.1829986572266,57,1500,64,66,44,10,66,5.40000009536743,12,1,21.2765960693359,4,15.3139352798462,3.46981263160706
"Iraq",18.4449996948242,70,1950,62,64,45,8,84,5.90000009536743,13,1,20,4,17.0648460388184,5.20291376113892
"Ireland",3.53099989891052,57,11200,72,78,15,9,8,2.40000009536743,15,0,58.8235282897949,26.3157901763916,38.9105072021484,14.6842880249023
"Israel",4.7480001449585,89,12500,76,79,21,6,9,2.70000004768372,13,0,45.4545440673828,47.6190490722656,62.1118011474609,28.9855079650879
"Italy",57.9039993286133,67,16700,74,81,11,10,8,1.5,16,0,29.4117641448975,55.5555572509766,74.0740737915039,42.9184532165527
"Jamaica",2.50600004196167,52,1400,72,76,24,6,17,2.40000009536743,6,1,38.461540222168,7.692307472229,21.3675212860107,1.69376695156097
"Japan",124.459999084473,77,19100,77,82,10,7,4,1.79999995231628,10,0,76.9230804443359,43.4782600402832,135.135131835938,17.0068035125732
"Jordan",3.55699992179871,68,1012,70,73,46.7000007629395,5,38,6.90000009536743,13,1,22.2222213745117,10,19.9203186035156,12.3001232147217
"Kenya",26.1639995574951,26,385,60,64,44,8,68,7.59999990463257,1,1,16.6666660308838,1.49253726005554,13.5685214996338,1.36742782592773
"Kuwait",1.317999958992,95,6200,72,76,32,2,15,4.30000019073486,13,1,55.5555572509766,14.4927539825439,29.761905670166,14.3884887695312
"Laos",4.44000005722046,19,200,49,52,44,16,107,5.30000019073486,11,1,11.1111106872559,NA,27.1002712249756,1.53964591026306
"Lebanon",3.43899989128113,84,1400,66,71,28,7,43,3.09999990463257,13,1,76.9230804443359,5.4347825050354,38.0228118896484,12.9701690673828
"Lesotho",1.84800004959106,16,240,60,63,35,10,74,5.59999990463257,4,1,20,NA,14.880952835083,0.635808765888214
"Liberia",2.46199989318848,46,440,54,59,45,13,119,6.40000009536743,5,1,22.7272720336914,0.359712243080139,15.0150146484375,1.18008029460907
"Libya",44.8499984741211,70,6800,66,71,36,6,60,6.69999980926514,3,1,25,NA,35.8422927856445,12.9870128631592
"Madagascar",12.5959997177124,22,200,51,55,47,15,93,6.5,1,1,12.5,0.418410032987595,17.6366844177246,0.79649543762207
"Malawi",9.60499954223633,15,200,48,51,52,18,136,6.90000009536743,1,1,23.2558135986328,0.568181812763214,15.9489631652832,0.369085401296616
"Malaysia",18.4099998474121,38,2670,66,71,30,6,27,3.09999990463257,11,1,41.6666679382324,12.5,21.8818378448486,3.79075050354004
"Mali",8.64099979400635,25,265,43,47,51,21,110,6.59999990463257,5,1,1.88679242134094,0.136986300349236,5.26870393753052,0.353756904602051
"Mauritania",2.05900001525879,34,520,44,50,49,19,89,6.40000009536743,5,1,12.8205127716064,NA,8.21692657470703,0.978665113449097
"Mauritius",1.08200001716614,41,2300,66,74,19,6,22,1.89999997615814,1,1,23.8095245361328,6.66666650772095,27.472526550293,8.94454383850098
"Mexico",92.379997253418,72,3200,69,76,29,5,29,3.09999990463257,7,1,19.6078433990479,13.1578950881958,7.70416021347046,16.6666660308838
"Mongolia",2.3050000667572,58,900,63,68,34,6,47,5.19999980926514,10,1,13.3333330154419,3.125,126.582275390625,28.9855079650879
"Morocco",26.7080001831055,50,1060,63,67,30,8,56,4.19999980926514,3,1,18.518518447876,1.61290323734283,10.4275283813477,2.26500558853149
"Mozambique",15.4689998626709,19,120,46,49,46,17,134,6.19999980926514,1,1,3.44827580451965,0.460829496383667,8.14995956420898,0.229694962501526
